Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
0.0	0	0.0	0	1000	0.031000	0.645327	1	0.000000	0.031000	0.055697	
1	0.000000	0.0	0	999	0.030030	0.645327	2	0.000000	0.030000	0.055503	
3	0.000000	0.0	0	997	0.028084	0.645327	5	0.000000	0.028000	0.055298	
1	1.000000	0.0	0	999	0.029029	0.645327	6	0.166667	0.030000	0.055111	
5	0.400000	0.0	0	995	0.027136	0.645327	11	0.272727	0.029000	0.054919	
1	0.000000	0.0	0	999	0.025025	0.645327	1	0.000000	0.025000	0.054700	
3	0.000000	1	0.000000	996	0.035141	0.645327	4	0.000000	0.035000	0.054558	
6	0.500000	0.0	0	994	0.028169	0.645327	10	0.300000	0.031000	0.054388	
2	0.500000	0.0	0	998	0.023046	0.645327	2	0.500000	0.024000	0.054171	
2	0.500000	1	0.000000	997	0.031093	0.645327	4	0.500000	0.032000	0.054014	
3	0.333333	0.0	0	997	0.031093	0.645327	7	0.428571	0.032000	0.053859	
4	1.000000	0.0	0	996	0.036145	0.645327	11	0.636364	0.040000	0.053762	
1	1.000000	0.0	0	999	0.025025	1.092463	1	1.000000	0.026000	0.053569	
0.0	0	1	0.000000	999	0.028028	1.092463	1	1.000000	0.028000	0.053393	
1	0.000000	0.0	0	999	0.029029	1.092463	2	0.500000	0.029000	0.053226	
1	0.000000	0.0	0	999	0.026026	1.092463	3	0.333333	0.026000	0.053040	
0.0	0	0.0	0	1000	0.021000	1.092463	3	0.333333	0.021000	0.052824	
0.0	0	0.0	0	1000	0.014000	1.092463	3	0.333333	0.014000	0.052563	
1	0.000000	0.0	0	999	0.025025	1.092463	4	0.250000	0.025000	0.052380	
0.0	0	0.0	0	1000	0.015000	1.092463	4	0.250000	0.015000	0.052132	
0.0	0	0.0	0	1000	0.020000	1.092463	4	0.250000	0.020000	0.051921	
1	1.000000	0.0	0	999	0.025025	1.092463	5	0.400000	0.026000	0.051751	
3	0.000000	0.0	0	997	0.015045	1.092463	8	0.250000	0.015000	0.051513	
0.0	0	0.0	0	1000	0.023000	1.092463	8	0.250000	0.023000	0.051329	
2	1.000000	0.0	0	998	0.029058	1.092463	10	0.400000	0.031000	0.051198	
0.0	0	0.0	0	1000	0.026000	1.092463	0	0.000000	0.026000	0.051038	
2	0.000000	0.0	0	998	0.016032	1.092463	2	0.000000	0.016000	0.050816	
1	0.000000	0.0	0	999	0.025025	1.092463	3	0.000000	0.025000	0.050654	
2	0.500000	0.0	0	998	0.021042	1.092463	5	0.200000	0.022000	0.050475	
3	0.000000	0.0	0	997	0.027081	1.092463	8	0.125000	0.027000	0.050329	
5	0.200000	0.0	0	995	0.029146	1.092463	13	0.153846	0.030000	0.050203	
1	1.000000	0.0	0	999	0.026026	0.783801	1	1.000000	0.027000	0.050061	
3	0.666667	0.0	0	997	0.019057	0.783801	4	0.750000	0.021000	0.049884	
0.0	0	0.0	0	1000	0.016000	0.783801	4	0.750000	0.016000	0.049678	
0.0	0	0.0	0	1000	0.029000	0.783801	4	0.750000	0.029000	0.049554	
2	0.000000	0.0	0	998	0.029058	0.783801	6	0.500000	0.029000	0.049431	
0.0	0	0.0	0	1000	0.033000	0.783801	6	0.500000	0.033000	0.049333	
4	0.250000	0.0	0	996	0.018072	0.783801	10	0.400000	0.019000	0.049154	
3	0.000000	0.0	0	997	0.041123	0.783801	3	0.000000	0.041000	0.049106	
0.0	0	0.0	0	1000	0.019000	0.783801	3	0.000000	0.019000	0.048930	
2	0.000000	0.0	0	998	0.027054	0.783801	5	0.000000	0.027000	0.048802	
1	1.000000	0.0	0	999	0.035035	0.783801	6	0.166667	0.036000	0.048728	
2	0.500000	0.0	0	998	0.034068	0.783801	8	0.250000	0.035000	0.048649	
0.0	0	0.0	0	1000	0.021000	0.783801	8	0.250000	0.021000	0.048491	
4	0.250000	0.0	0	996	0.035141	0.783801	12	0.250000	0.036000	0.048420	
3	0.000000	1	0.000000	996	0.022088	0.783801	3	0.000000	0.022000	0.048271	
3	0.000000	0.0	0	997	0.039117	0.783801	6	0.000000	0.039000	0.048219	
3	0.000000	0.0	0	997	0.034102	0.783801	9	0.000000	0.034000	0.048139	
4	0.000000	0.0	0	996	0.034137	0.783801	13	0.000000	0.034000	0.048061	
1	0.000000	0.0	0	999	0.045045	0.526270	1	0.000000	0.045000	0.048044	
0.0	0	0.0	0	1000	0.044000	0.526270	1	0.000000	0.044000	0.048022	
2	0.000000	0.0	0	998	0.031062	0.526270	3	0.000000	0.031000	0.047929	
2	0.500000	0.0	0	998	0.033066	0.526270	5	0.200000	0.034000	0.047853	
2	0.000000	0.0	0	998	0.039078	0.526270	7	0.142857	0.039000	0.047805	
2	0.500000	0.0	0	998	0.032064	0.526270	9	0.222222	0.033000	0.047726	
1	0.000000	0.0	0	999	0.030030	0.526270	10	0.200000	0.030000	0.047631	
5	0.800000	0.0	0	995	0.027136	0.526270	5	0.800000	0.031000	0.047542	
4	0.750000	0.0	0	996	0.044177	0.526270	9	0.777778	0.047000	0.047539	
2	0.000000	0.0	0	998	0.035070	0.526270	11	0.636364	0.035000	0.047473	
1	0.000000	0.0	0	999	0.030030	0.652733	1	0.000000	0.030000	0.047382	
3	0.333333	0.0	0	997	0.033099	0.652733	4	0.250000	0.034000	0.047312	
3	0.333333	0.0	0	997	0.041123	0.652733	7	0.285714	0.042000	0.047285	
5	0.200000	0.0	0	995	0.033166	0.652733	12	0.250000	0.034000	0.047216	
4	0.500000	0.0	0	996	0.040161	0.652733	4	0.500000	0.042000	0.047190	
2	0.500000	0.0	0	998	0.040080	0.652733	6	0.500000	0.041000	0.047158	
