732	4 (A B G M)
Panicum_virgatum	0010
Paphiopedilum_armeniacum	0100
Paphiopedilum_dianthum	0100
Paraphymatoceros_coriaceus	0001
Paris_incompleta	0010
Paris_quadrifolia	0010
Paspalum_distichum	0010
Pellia_endiviifolia	0010
Perilla_frutescens	0010
Phaeoceros_carolinianus	0011
Phaeoceros_dendroceroides	0011
Phaeoceros_laevis	0011
Phaeoceros_pearsonii	0000
Phaeomegaceros_coriaceus	0011
Phaeomegaceros_hirticalyx	0001
Phaius_tancarvilleae	0100
Phalaris_arundinacea	0010
Phaseolus_vulgaris	0010
Phellodendron_amurense	0010
Phlegmariurus_phlegmaria	0010
Phoenix_dactylifera	0010
Phragmites_australis	0010
Phyllanthus_calycinus	0110
Phyllothallia_nivicola	0000
Physcomitrella_patens	0000
Phytolacca_americana	0010
Picea_abies	1100
Picea_crassifolia	1100
Picea_glauca	1100
Picea_jezoensis	0100
Picea_mariana	1100
Picea_rubens	1000
Picea_sitchensis	0100
Picea_smithiana	0100
Pilea_pumila	0010
Pilosella_officinarum	0010
Pinus_albicaulis	1100
Pinus_banksiana	1100
Pinus_canariensis	0100
Pinus_caribaea	1100
Pinus_cembra	1100
Pinus_densiflora	1100
Pinus_edulis	1100
Pinus_elliottii	1100
Pinus_halepensis	0100
Pinus_jeffreyi	0100
Pinus_kesiya	1100
Pinus_koraiensis	1100
Pinus_lambertiana	1100
Pinus_longaeva	1100
Pinus_massoniana	1100
Pinus_montezumae	1100
Pinus_mugo	1100
Pinus_muricata	1100
Pinus_nigra	1100
Pinus_parviflora	0100
Pinus_patula	1100
Pinus_pinaster	1100
Pinus_pinea	1100
Pinus_ponderosa	1100
Pinus_pumila	0100
Pinus_radiata	1100
Pinus_roxburghii	0100
Pinus_sabiniana	1100
Pinus_strobus	1100
Pinus_sylvestris	1100
Pinus_tabuliformis	1100
Pinus_taeda	1100
Pinus_thunbergii	1100
Pinus_virginiana	1100
Pinus_wallichiana	1100
Piper_nigrum	0010
Pisonia_aculeata	0100
Pisonia_albida	0100
Pisonia_grandis	0100
Pisonia_sandwicensis	0100
Pisonia_sechellarum	0010
Pisonia_taina	0100
Pisum_sativum	0010
Plantago_afra	0010
Plantago_asiatica	0010
Plantago_lanceolata	0010
Plantago_major	0010
Platanthera_azorica	0100
Platanthera_chlorantha	1100
Platanthera_micrantha	0100
Pleurozia_gigantea	0000
Pleurozia_purpurea	0000
Poa_pratensis	0010
Podocarpus_oleifolius	0010
Podococcus_barteri	0010
Podomitrium_phyllanthus	0010
Polygala_amara	0010
Polygala_calcarea	0010
Polygala_comosa	0010
Polygala_myrtifolia	0010
Polygala_rupestris	0010
Polygala_serpyllifolia	0010
Polygala_vulgaris	0010
Polygonum_cuspidatum	0010
Polystichum_acrostichoides	0010
Populus_alba	1110
Populus_balsamifera	0100
Populus_davidiana	0100
Populus_deltoides	1110
Populus_euphratica	0010
Populus_nigra	1110
Populus_simonii	1100
Populus_tremula	1110
Populus_trichocarpa	0110
Potentilla_erecta	0010
Preissia_quadrata	0010
Prumnopitys_ferruginea	0010
Prumnopitys_montana	0010
Prumnopitys_taxifolia	0010
Prunella_vulgaris	0010
Prunus_africana	0010
Prunus_persica	0010
Pseudorchis_albida	1100
Pseudotsuga_menziesii	1100
Psilotum_nudum	0010
Pterostylis_nutans	0100
Pterygodium_catholicum	0100
Ptisana_purpurascens	0010
Puccinellia_distans	0010
Puccinellia_maritima	0010
Pulmonaria_obscura	0010
Purdiaea_nutans	0010
Pyrola_minor	0100
Pyrola_rotundifolia	1100
Pyrorchis_nigricans	0100
Pyrus_pyrifolia	0010
Quercus_agrifolia	0110
Quercus_alba	1100
Quercus_cerris	1100
Quercus_douglasii	1110
Quercus_fabri	1100
Quercus_ilex	1100
Quercus_incana	1100
Quercus_petraea	1100
Quercus_phellos	1100
Quercus_pubescens	1100
Quercus_robur	1100
Quercus_rubra	1110
Quercus_salicina	0100
Quercus_suber	1100
Quercus_variabilis	1100
Quercus_wislizeni	1100
Ranunculus_montanus	0010
Ranunculus_repens	0010
Retama_sphaerocarpa	0010
Rhizophora_apiculata	0010
Rhododendron_decorum	1100
Rhododendron_ferrugineum	0100
Rhododendron_fortunei	1100
Rhododendron_groenlandicum	0100
Rhododendron_racemosum	0100
Rhododendron_tomentosum	0100
Rhomboda_cristata	0100
Riccardia_latifrons	0100
Riccardia_multifida	0100
Riccardia_palmata	0100
Riccia_huebeneriana	0000
Riella_helicophylla	0000
Robinia_pseudoacacia	0010
Rosa_multiflora	0010
Rosmarinus_officinalis	0010
Rubus_parvifolius	0010
Rubus_saxatilis	0010
Ruta_chalepensis	0010
Saccobasis_polita	0100
Saccogyna_viticulosa	0100
Salicornia_europaea	0010
Salix_alba	1100
Salix_arctica	1100
Salix_herbacea	1100
Salix_polaris	1100
Salix_reinii	1100
Salix_reticulata	1100
Salix_tetrasperma	1100
Salvadora_persica	0010
Sanionia_uncinata	0000
Santiria_trimera	0010
Saussurea_involucrata	1000
Sauteria_alpina	0000
Saxifraga_oppositifolia	0010
Scapania_calcicola	0100
Scapania_cuspiduligera	0100
Scapania_irrigua	0100
Scapania_umbrosa	0100
Schistochilopsis_incisa	0100
Schizocodon_soldanelloides	1000
Selaginella_kraussiana	0010
Selaginella_selaginoides	0010
Senegalia_senegal	0010
Sequoiadendron_giganteum	0010
Serapias_cordigera	0100
Sesleria_caerulea	0010
Setaria_pumila	0010
Shorea_guiso	0100
Shorea_obtusa	0100
Solanum_tuberosum	0010
Solidago_canadensis	0010
Solidago_gigantea	0010
Solidago_missouriensis	0010
Solidago_rugosa	0010
Solidago_virgaurea	0010
Sonchus_tenerrimus	0010
Sonneratia_alba	0010
Sorbus_aucuparia	0010
Sorghum_bicolor	0010
Southbya_nigrella	0100
Sphaerocarpos_texanus	0000
Sphagnum_palustre	0000
Spiranthes_sinensis	0100
Subularia_aquatica	0000
Swietenia_macrophylla	0010
Symphyogyna_hymenophyllum	0010
Syntrichia_ruralis	0000
Tacca_plantaginea	0010
Tainia_latifolia	0100
Takakia_lepidozioides	0000
Tanacetum_vulgare	0010
Taraxacum_officinale	0010
Taxus_baccata	0110
Tectona_grandis	0010
Tetragastris_panamensis	0010
Tetraphis_pellucida	0000
Thalictrum_minus	0010
Thismia_rodwayi	0010
Thlaspi_arvense	0010
Thymus_praecox	0010
Thymus_pulegioides	0010
Tilia_americana	1000
Tilia_cordata	1110
Tipularia_discolor	0100
Tmesipteris_elongata	0010
Tmesipteris_tannensis	0010
Torilis_arvensis	0010
Torilis_japonica	0010
Toxicoscordion_venenosum	0010
Trachycarpus_fortunei	0010
Trachystemon_orientalis	0010
Tragopogon_pratensis	0010
Treubia_lacunosa	0001
Tricoryne_elatior	0010
Trientalis_europaea	0010
Trifolium_pratense	0010
Trifolium_repens	0010
Trifolium_subterraneum	0010
Trillium_grandiflorum	0010
Triplophyllum_vogelii	0010
Triraphis_mollis	0010
Trisetum_flavescens	0010
Trisyngyne_balansae	0100
Trisyngyne_codonandra	0100
Triticum_aestivum	0010
Tritomaria_exsectiformis	0100
Tritomaria_quinquedentata	0100
Trizeuxis_falcata	0100
Tsuga_canadensis	1100
Tsuga_mertensiana	1100
Typha_angustifolia	0010
Typha_latifolia	0010
Ulmus_americana	1100
Vaccinium_myrtillus	1110
Vaccinium_oxycoccos	1100
Vaccinium_poasanum	0100
Vaccinium_uliginosum	1100
Vaccinium_vitis_idaea	1100
Vachellia_erioloba	0010
Veratrum_oxysepalum	0010
Verbena_officinalis	0010
Verdoornia_succulenta	0100
Veronica_chamaedrys	0010
Vicia_faba	0010
Vicia_hirsuta	0010
Vicia_sativa	0010
Vicia_tetrasperma	0010
Vigna_unguiculata	0010
Vincetoxicum_rossicum	0010
Vitis_vinifera	0010
Wiesnerella_denudata	0000
Woollsia_pungens	1000
Wullschlaegelia_aphylla	0100
Zea_mays	0010
Zeuxine_agyokuana	0100
Zeuxine_strateumatica	0100
Zingiber_officinale	0010
Zoysia_japonica	0010
